Nivel,Algoritmo,Hay Solucion?,Tiempo,Nodos generados,Nodos abiertos,Profundidad máxima
level1,BFSStrategy,True,0.0024721622467041016,3059,1241,43
level1,DFSStrategy,True,0.0025420188903808594,2319,970,80
level1,AStarStrategy,True,0.0037660598754882812,2983,1213,43
level1,IDDFSStrategy,True,0.09584212303161621,72081,31696,53
level1,IDAStarStrategy,True,8.218531131744385,7730126,3729196,43
level2,BFSStrategy,True,0.44766902923583984,128124,50768,59
level2,DFSStrategy,True,0.5349419116973877,128677,50860,810
level2,AStarStrategy,True,0.8150568008422852,118822,47422,59
level2,IDDFSStrategy,True,5.088659048080444,2479681,1169372,96
level2,IDAStarStrategy,False,0,39337794,22607855,36
